Role Name,Creation Method,Stack Name or Set ID,Stack ARN
raj-cft,CloudFormation,ssecret,arn:aws:cloudformation:ap-south-1:767397855823:stack/ssecret/6ca5a910-2e42-11ef-be28-0a3d9fa7ad09
sauerbrunn,Manual,N/A,N/A
ramos,Manual,N/A,N/A
Kent,Manual,N/A,N/A
tab_ramos,Manual,N/A,N/A
event_bridge_sns_rce_role,Manual,N/A,N/A
Alexander-Arnold,Manual,N/A,N/A
AWSServiceRoleForElasticLoadBalancing,Manual,N/A,N/A
vuln,Manual,N/A,N/A
AWSServiceRoleForOrganizations,Manual,N/A,N/A
brian_mcbride,Manual,N/A,N/A
Lasso,Manual,N/A,N/A
mewis,Manual,N/A,N/A
AWSServiceRoleForAccessAnalyzer,Manual,N/A,N/A
AWSServiceRoleForAPIGateway,Manual,N/A,N/A
fox,Manual,N/A,N/A
AWSServiceRoleForSupport,Manual,N/A,N/A
AWSServiceRoleForRDS,Manual,N/A,N/A
spy-sns-role,Manual,N/A,N/A
producer,Manual,N/A,N/A
swanson,Manual,N/A,N/A
my-app-role,Manual,N/A,N/A
landon_donovan,Manual,N/A,N/A
aaronson,Manual,N/A,N/A
christian_pulisic,Manual,N/A,N/A
viniciusjr,Manual,N/A,N/A
pepi,Manual,N/A,N/A
AWSServiceRoleForAutoScaling,Manual,N/A,N/A
Ertz,Manual,N/A,N/A
cg-lambda-invoker-vulnerable_lambda_cgidn0p0zov78s,Manual,N/A,N/A
vulnerable_lambda_cgidn0p0zov78s-policy_applier_lambda1,Manual,N/A,N/A
AWSServiceRoleForTrustedAdvisor,Manual,N/A,N/A
AWSServiceRoleForECS,Manual,N/A,N/A
Beard,Manual,N/A,N/A
AWSServiceRoleForSSO,Manual,N/A,N/A
ream,Manual,N/A,N/A
